OBJECTID,VEHICLES,YEAR_OF_RE,ACCIDENT_D,ACCIDENT_1,ACCIDENT_H,LEG,HOUSE_NUMB,RB_NUMBER,DRIVER1_AG,DRIVER2_AG,DRIVER1_SE,DRIVER2_SE,VEHICLE1_T,VEHICLE2_T,NUM_INJURI,INJURY_F,INJURY_PI1,INJURY_PI2,INJURY_PI3,DIRECTION1,DIRECTION2,VEHICLE1_C,VEHICLE2_C,CIRCUMSTAN,CIRCUMST_1,DANGER_UNS,DANGER_U_1,DRIVER1_CO,DRIVER2_CO,PED_AGE,PED_SEX,PED_CONDIT,PED_ACTION,ROAD_CONDI,WEATHER,PROBLEM_EL,ACCIDENT_T,ENTER_DATE,Editor,STATUS,Location 1
30376,2,2008,03/10/2008 07:00 AM +0000,2,16,IN,,v09435,0,32,M,M,PA,BI,0,0,0,0,0,N,W,0,0,0,0,0,0,N,N,0,,,,D,C,NS,21,06/25/2008 07:00 AM +0000,Martinez,1,"Pacific and Bob Boozer Drive
Omaha, NE 68104
(41.24848659131902, -96.16663345521903)"
30923,2,2008,04/06/2008 07:00 AM +0000,1,19,IN,,v17100,0,24,M,M,PA,BI,1,0,1,0,0,S,W,0,0,7,0,0,0,N,N,0,,,,D,C,NS,12,07/14/2008 07:00 AM +0000,Martinez,1,"24th and Leavenworth
Omaha, NE 68104
(41.295230000000004, -96.00216)"
31109,2,2008,04/14/2008 07:00 AM +0000,2,17,IN,,v19190,62,47,F,M,PA,BI,1,0,0,1,0,E,N,0,0,2,0,0,0,N,N,0,,,,D,C,NS,10,07/17/2008 07:00 AM +0000,Martinez,1,"156th and Spaulding
Omaha, NE 68104
(41.295230000000004, -96.00216)"
31294,2,2008,04/22/2008 07:00 AM +0000,3,15,IN,,v21395,45,17,F,M,PA,BI,0,0,0,0,0,E,E,0,0,0,0,0,0,N,N,0,,,,D,C,NS,1,07/24/2008 07:00 AM +0000,Martinez,1,"54th and Hartman Ave
Omaha, NE 68104
(41.31035994693485, -95.99744400184682)"
31310,2,2008,04/23/2008 07:00 AM +0000,4,17,IN,,v21751,28,19,F,M,PA,BI,0,0,0,0,0,N,E,0,0,0,0,0,0,N,N,0,,,,D,C,NS,12,07/25/2008 07:00 AM +0000,Martinez,1,"Cole Creek Road and Franklin
Omaha, NE 68104
(41.295230000000004, -96.00216)"
31375,2,2008,04/25/2008 07:00 AM +0000,6,15,IN,,v22317,47,14,M,F,PA,BI,0,0,0,0,0,N,W,0,0,0,0,0,0,N,N,0,,,,D,O,NS,10,07/25/2008 07:00 AM +0000,Martinez,1,"28th Ave and Binney
Omaha, NE 68104
(41.295230000000004, -96.00216)"
31487,2,2008,04/28/2008 07:00 AM +0000,2,17,IN,,v23091,23,38,F,M,PA,BI,0,0,0,0,0,N,E,0,0,2,0,0,0,N,N,0,,,,D,C,NS,22,07/28/2008 07:00 AM +0000,Martinez,1,"28th and Leavenworth
Omaha, NE 68104
(41.295230000000004, -96.00216)"
31778,2,2008,05/12/2008 07:00 AM +0000,2,12,MB,,v26785,52,20,M,M,PA,BI,0,0,0,0,0,E,N,0,0,0,0,0,0,N,N,0,,,,D,O,NS,10,08/06/2008 07:00 AM +0000,Martinez,1,"63rd and Maple
Omaha, NE 68104
(41.28499906570863, -96.00957585602208)"
31785,2,2008,05/12/2008 07:00 AM +0000,2,20,IN,,v26879,24,0,F,M,PA,BI,1,0,0,1,0,E,N,0,0,0,0,0,0,N,N,0,,,,D,C,NS,10,08/06/2008 07:00 AM +0000,Martinez,1,"21st and Pinkney
Omaha, NE 68104
(41.295230000000004, -96.00216)"
31877,2,2008,05/15/2008 07:00 AM +0000,5,19,IN,,v27679,29,44,F,M,PA,BI,0,0,0,0,0,S,E,0,0,2,0,0,0,N,N,0,,,,D,C,NS,10,08/07/2008 07:00 AM +0000,Martinez,1,"70th Ave and Military Ave
Omaha, NE 68104
(41.29627656395604, -96.02141992714797)"
31932,2,2008,05/17/2008 07:00 AM +0000,7,18,MB,2038,v28264,6,0,M,M,BI,PA,0,0,0,0,0,W,S,0,0,0,0,0,0,N,N,0,,,,D,C,NS,10,08/11/2008 07:00 AM +0000,Martinez,0,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
31960,2,2008,05/17/2008 07:00 AM +0000,7,12,IN,,v28156,62,15,F,M,PA,BI,0,0,0,0,0,S,E,0,0,2,0,0,0,N,N,0,,,,D,C,NS,12,08/11/2008 07:00 AM +0000,Martinez,1,"Blondo and Benson Gardens Blvd
Omaha, NE 68104
(41.295230000000004, -96.00216)"
32076,2,2008,05/24/2008 07:00 AM +0000,7,16,IN,,v29936,0,17,,F,PA,BI,0,0,0,0,0,S,W,0,0,0,7,0,0,N,N,0,,,,D,C,NS,10,08/13/2008 07:00 AM +0000,Martinez,1,"46th Ave and O
Omaha, NE 68104
(41.295230000000004, -96.00216)"
32092,2,2008,05/25/2008 07:00 AM +0000,1,13,IN,,v30170,67,0,M,M,PA,BI,0,0,0,0,0,W,S,0,0,0,0,0,0,N,N,0,,,,D,C,NS,10,08/13/2008 07:00 AM +0000,Martinez,1,"120th and Q
Omaha, NE 68104
(41.295230000000004, -96.00216)"
32112,2,2008,05/26/2008 07:00 AM +0000,2,20,IN,,v30479,30,10,F,M,PA,BI,0,0,0,0,0,E,S,0,0,0,0,2,0,N,N,0,,,,D,O,NS,10,08/13/2008 07:00 AM +0000,Martinez,1,"Fontenelle Blvd and Fowler Ave
Omaha, NE 68104
(41.295230000000004, -96.00216)"
32193,2,2008,05/28/2008 07:00 AM +0000,4,20,IN,,v31052,17,0,M,,PA,BI,0,0,0,0,0,W,S,0,0,0,0,0,0,N,N,0,,,,D,C,NS,10,08/14/2008 07:00 AM +0000,Martinez,1,"29th and W
Omaha, NE 68104
(41.295230000000004, -96.00216)"
32194,2,2008,05/28/2008 07:00 AM +0000,4,19,MB,,v31033,64,10,F,M,PA,BI,0,0,0,0,0,N,W,0,0,0,0,0,0,N,N,0,,,,D,C,AL,10,08/14/2008 07:00 AM +0000,Martinez,0,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
32316,2,2008,05/31/2008 07:00 AM +0000,7,1,IN,,v31656,44,39,M,M,PA,BI,0,0,0,0,0,N,W,0,0,0,0,0,0,N,N,0,,,,D,C,NS,12,08/18/2008 07:00 AM +0000,Martinez,1,"99th and Q
Omaha, NE 68104
(41.295230000000004, -96.00216)"
32428,2,2008,06/04/2008 07:00 AM +0000,4,13,MB,906,v32814,36,8,F,M,PA,BI,0,0,0,0,0,W,S,0,0,0,0,0,0,N,N,0,,,,D,O,RD,10,08/20/2008 07:00 AM +0000,Martinez,0,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
32530,2,2008,06/11/2008 07:00 AM +0000,4,15,IN,,v34732,25,8,M,F,PA,BI,0,0,0,0,0,E,S,0,0,2,0,0,0,N,N,0,,,,D,C,NS,10,08/21/2008 07:00 AM +0000,Martinez,1,"69th and Pratt
Omaha, NE 68104
(41.29231055380683, -96.01902773055002)"
32609,2,2008,06/13/2008 07:00 AM +0000,6,15,IN,,v35249,19,34,M,F,BI,PA,1,0,0,0,1,N,W,0,0,0,0,0,0,N,N,0,,,,D,C,NS,10,08/25/2008 07:00 AM +0000,Martinez,1,"19th and Spencer
Omaha, NE 68104
(41.295230000000004, -96.00216)"
32781,2,2008,06/20/2008 07:00 AM +0000,6,19,IN,,v37248,0,46,F,M,PA,BI,0,0,0,0,0,E,N,0,0,0,0,0,0,N,N,0,,,,W,O,NS,10,08/28/2008 07:00 AM +0000,Martinez,1,"40th Ave and Bedford
Omaha, NE 68104
(41.295230000000004, -96.00216)"
32824,2,2008,06/22/2008 07:00 AM +0000,1,20,IN,,v37751,32,10,F,M,PA,BI,1,0,0,1,0,N,W,0,0,0,2,0,0,N,N,0,,,,D,C,NS,10,09/02/2008 07:00 AM +0000,Martinez,1,"63rd and Parker
Omaha, NE 68104
(41.276761275920194, -96.00960283568298)"
32827,2,2008,06/22/2008 07:00 AM +0000,1,19,IN,,v37738,39,12,M,F,PA,BI,0,0,0,0,0,W,N,0,0,0,0,0,0,N,N,0,,,,D,C,NS,10,09/02/2008 07:00 AM +0000,Martinez,1,"43rd and Burt
Omaha, NE 68104
(41.295230000000004, -96.00216)"
32838,2,2008,06/23/2008 07:00 AM +0000,2,15,IN,,v37951,31,17,M,M,PA,BI,0,0,0,0,0,N,N,0,0,0,0,0,0,N,N,0,,,,D,C,NS,25,09/02/2008 07:00 AM +0000,Martinez,1,"90th and Burt
Omaha, NE 68104
(41.295230000000004, -96.00216)"
32939,2,2008,06/28/2008 07:00 AM +0000,7,15,IN,,v39271,48,43,M,F,BI,PA,0,0,0,0,0,N,N,0,0,0,0,0,0,N,N,0,,,,D,C,NS,24,09/03/2008 07:00 AM +0000,Martinez,1,"13th and Martha
Omaha, NE 68104
(41.295230000000004, -96.00216)"
