PIN,DeclaredUnfit,Demolition,InspectionStatus,Location 1
PIN,NOTDECLUNF,DEMO,INSPSTATUS,"Address
City, State
"
2406060000,Y,,3,"1001 NORTHWEST RADIAL HW
Omaha, NE
(41.26910804545088, -95.98249726971989)"
1318220000,Y,Y,4,"1001-03-05-07-09-11 S 030 AV
Omaha, NE
(41.260689999643944, -95.94059000012828)"
1020570002,Y,Y,4,"1001-1003 S 069 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
1020570002,Y,,3,"1001-1003 S 069 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
1903102252,Y,,3,"10018 N 030 AV
Omaha, NE
(41.260689999643944, -95.94059000012828)"
523381992,Y,,3,"10032 U ST
Omaha, NE
(41.20202962689837, -96.070262272623)"
523381992,Y,,3,"10032 U ST
Omaha, NE
(41.20202962689837, -96.070262272623)"
523381992,Y,,3,"10032 U ST
Omaha, NE
(41.20202962689837, -96.070262272623)"
523381992,Y,,3,"10032 U ST
Omaha, NE
(41.20202962689837, -96.070262272623)"
2325400000,Y,,3,"1005 S 042 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
704080000,Y,Y,4,"1010 ARBOR ST
Omaha, NE
(41.2360219879929, -95.92993189710728)"
704080000,Y,,3,"1010 ARBOR ST
Omaha, NE
(41.2360219879929, -95.92993189710728)"
704080000,Y,,3,"1010 ARBOR ST
Omaha, NE
(41.2360219879929, -95.92993189710728)"
1840392002,Y,,3,"10109 N 029 CT
Omaha, NE
(41.260689999643944, -95.94059000012828)"
2328851060,,,2,"10116 BENNIE DAY RD
Omaha, NE
(41.35134205181009, -96.00757936111705)"
2328851060,,,2,"10116 BENNIE DAY RD
Omaha, NE
(41.35134205181009, -96.00757936111705)"
2113390000,Y,,3,"1012 S 029 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
2113390000,Y,,3,"1012 S 029 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
2113390000,Y,,3,"1012 S 029 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
2113390000,Y,,3,"1012 S 029 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
2113390000,Y,,3,"1012 S 029 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
2406500000,Y,Y,4,"1014 N 040 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
1713950002,Y,Y,4,"1016 S 025 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
1713950002,Y,,3,"1016 S 025 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
1713950002,Y,,3,"1016 S 025 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
1714260000,Y,Y,4,"1016 S 026 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
1714260000,Y,,3,"1016 S 026 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
752730000,Y,,3,"1017 N 048 AV
Omaha, NE
(41.260689999643944, -95.94059000012828)"
752730000,Y,,3,"1017 N 048 AV
Omaha, NE
(41.260689999643944, -95.94059000012828)"
752730000,Y,,3,"1017 N 048 AV
Omaha, NE
(41.260689999643944, -95.94059000012828)"
752730000,Y,,3,"1017 N 048 AV
Omaha, NE
(41.260689999643944, -95.94059000012828)"
1628530000,Y,,3,"1018 S 031 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
752720000,Y,,3,"1019 N 048 AV
Omaha, NE
(41.260689999643944, -95.94059000012828)"
752720000,Y,,3,"1019 N 048 AV
Omaha, NE
(41.260689999643944, -95.94059000012828)"
752720000,Y,,3,"1019 N 048 AV
Omaha, NE
(41.260689999643944, -95.94059000012828)"
752720000,Y,,3,"1019 N 048 AV
Omaha, NE
(41.260689999643944, -95.94059000012828)"
752720000,Y,,3,"1019 N 048 AV
Omaha, NE
(41.260689999643944, -95.94059000012828)"
752720000,Y,,3,"1019 N 048 AV
Omaha, NE
(41.260689999643944, -95.94059000012828)"
752720000,Y,,3,"1019 N 048 AV
Omaha, NE
(41.260689999643944, -95.94059000012828)"
162351000,Y,,3,"1019 S 022 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
1714150000,Y,,3,"1019 S 026 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
1722970000,Y,,3,"1019 TURNER BD
Omaha, NE
(41.249637723516514, -95.96221755795915)"
910790000,Y,,3,"102 N 038 AV
Omaha, NE
(41.260689999643944, -95.94059000012828)"
1623200000,Y,,3,"1020 S 020 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
1623510000,Y,,3,"1021 S 022 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
2113400000,Y,,3,"1022 S 029 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
1307730000,Y,,3,"1026 S 025 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
2325340000,,,1,"1029 S 042 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
1318410000,Y,,3,"1030 S 030 AV
Omaha, NE
(41.260689999643944, -95.94059000012828)"
1318410000,Y,,3,"1030 S 030 AV
Omaha, NE
(41.260689999643944, -95.94059000012828)"
1318410000,Y,,3,"1030 S 030 AV
Omaha, NE
(41.260689999643944, -95.94059000012828)"
1318410000,Y,,3,"1030 S 030 AV
Omaha, NE
(41.260689999643944, -95.94059000012828)"
1318410000,Y,,3,"1030 S 030 AV
Omaha, NE
(41.260689999643944, -95.94059000012828)"
220340000,Y,,3,"1030 S 035 AV
Omaha, NE
(41.260689999643944, -95.94059000012828)"
220340000,Y,,3,"1030 S 035 AV
Omaha, NE
(41.260689999643944, -95.94059000012828)"
2113210000,Y,,3,"1034 PARK AV
Omaha, NE
(41.24970067605858, -95.95578740544966)"
2113210000,Y,,3,"1034 PARK AV
Omaha, NE
(41.24970067605858, -95.95578740544966)"
2113210000,Y,,3,"1034 PARK AV
Omaha, NE
(41.24970067605858, -95.95578740544966)"
2113210000,Y,,3,"1034 PARK AV
Omaha, NE
(41.24970067605858, -95.95578740544966)"
2113210000,Y,,3,"1034 PARK AV
Omaha, NE
(41.24970067605858, -95.95578740544966)"
1803350000,Y,,3,"1037 N 033 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
2105000002,Y,Y,4,"1037 S 024 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
1533150002,Y,Y,4,"1038 S 019 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
1623390000,Y,,3,"1039 S 022 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
1623390000,,,2,"1039 S 022 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
2113430000,Y,,3,"1040 -1044 S 029 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
2113430000,Y,,3,"1040 S 029 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
