RBnumber,sequence_num,recovered_date,recovered_district,recovered_address,recovered_halfadd,recovered_room,recovered_city,recovered_state,recovered_zip,year,color,make,model,bodytype,licensenum,licensestate,licenseyear,VIN,approximate_value,stolen?,questionable_stolen?,steering_lock?,doors_locked?,ignition_locked?,key_in_vehicle?
C82905,1,,000,,,,,,,90,RED,OLDS,CUT,2D,NJR798,NE,04,1G3NT14D9LMA20362,1200,Y,N,Y,N,N,N
E36888,1,,000,,,,,,,96,BLK,,,TL,2747BK,IA,05,4KNUT1426TL161795,4000,Y,N,Y,N,N,N
E36888,2,12/02/2011 12:00 AM,058,1750 MASON ST,,,OMAHA,NE,68108,96,WHI,,,,,,00,514713834,18000,Y,N,N,N,N,N
E64045,1,06/04/2011 12:00 AM,062,3125 S 18 ST,,,OMAHA,NE,68108,00,GRN,PONT,,4D,DEH471,NE,04,1G2NF52T5YM779073,5000,N,N,N,N,N,Y
G30915,1,,000,,,,,,,04,BLU,HYUN,ELA,4D,4922,NE,06,KMHDN46D04N850502,5000,N,N,N,Y,N,N
K26680,1,,000,,,,,,,87,GRY,BUIC,PAR,4DR SW,NKB398,IA,95,1G4CW5136H1483691,5000,Y,N,N,N,Y,N
N50806,1,11/21/2011 12:00 AM,091,11025 N 48 ST,,,OMAHA,NE,68152,99,CRM,,,TRL,OIR185,NE,07,47CC10C12X3032082,3500,Y,N,N,N,N,N
N58252,1,09/01/2010 12:00 AM,095,FORT DODGE IA ST,,,,,,06,RED/BLK,HOND,,MOTORCYCLE,,,00,JH2PE05366M403640,,Y,N,N,N,N,N
C92857,1,,000,,,,,,,04,SIL/ONG,KAWK,,MC,,,00,JKAEXMF174DA01554,3600,Y,N,N,N,N,N
L97196,1,,000,,,,,,,85,SIL,CHEV,,VAN,59G2594,NE,96,1G8DM5N6FB150038,,Y,N,N,N,N,N
L97703,1,,000,,,,,,,91,BLK,,,TRACKER BT TRAILER,1-1677,NE,97,1JL11BE12NB004270,650,Y,N,N,N,N,N
N22027,1,,000,,,,,,,90,BLU,CHEV,TK,PK,PAV281,NE,06,1GCDK14K7LZ123162,8000,Y,N,N,N,N,N
N32435,1,,000,,,,,,,05,GRN,,,TRACTOR,,,00,L06420K447118,,Y,N,N,N,N,N
N32435,2,,000,,,,,,,05,GRN,,,,,,00,W0HX15F007496,15000,Y,N,N,N,N,N
N59699,1,07/22/2011 12:00 AM,095,COUNCIL BLUFFS PD ST,,,,,,96,RED,JEEP,,UT,740FJC,IA,07,1J4EZ58Y1TC121510,,Y,N,N,N,N,N
T74090,1,07/19/2001 12:00 AM,095,9434 U ST,,,OMAHA,NE,,92,GRY,FORD,TK,PK,1-30224,NE,00,1FTCR10A7NPA84088,2500,Y,N,Y,N,N,N
U72786,1,03/31/2002 12:00 AM,022,3819 N 70 CR,,,OMAHA,NE,68104,81,BLU,CHEV,,PK,196984,NE,02,1GCCC14H2BJ125525,1000,Y,N,N,Y,N,N
U80834,1,05/10/2002 12:00 AM,057,2400 LEAVENWORTH ST,,,OMAHA,NE,68105,83,TAN,NISS,MAX,4D,NCW716,NE,03,JN1HU0153DT103279,8000,Y,N,Y,N,N,Y
V00395,1,10/25/2011 12:00 AM,076,7850 I ST,,,OMAHA,NE,,93,WHI,,,TRLR,48289,NE,07,1JJV532Y0PL188322,12000,Y,N,N,N,N,N
V16433,1,,000,,,,,,,84,WHI,BUIC,RIV,2D,OKD199,NE,08,1G4AZ57Y4EE450596,500,Y,N,N,N,N,N
V57905,1,09/12/2008 12:00 AM,062,2911 S 26 ST,,,OMAHA,NE,68105,87,WHI,CHEV,,PK,PEH818,NE,08,1GBHR34K2HS114978,300,Y,N,N,N,N,N
V64203,1,,000,,,,,,,01,RED,MITS,MIR,4D,PBM666,NE,09,JA3AY26C51U042408,,Y,N,N,N,N,N
V86425,1,12/22/2008 12:00 AM,038,1100 LOCUST ST,,,OMAHA,NE,68110,95,BRO,FORD,,,ONX235,NE,09,1FDNF80C9SVA68053,60000,Y,N,N,N,N,N
V94395,1,05/13/2009 12:00 AM,064,JFK/F ST,,,,,,06,BLU,DODG,,VAN,OQR865,NE,09,2D4GP44L86R779073,16000,Y,N,N,N,N,Y
X03111,1,11/24/2011 12:00 AM,075,6288 H ST,,,OMAHA,NE,68117,02,YEL/BLK,SUZI,,MC,OIK045,NE,09,JS1GR7HA222104145,4700,Y,N,N,N,N,N
X04912,1,04/08/2011 12:00 AM,095,CASS COUNTY PD ST,,,,,,04,WHI,,,TL,,,00,4J6SC12144B061163,5000,Y,N,N,N,N,N
V35952,1,05/11/2011 12:00 AM,025,10211 N 53 ST,,,OMAHA,NE,68152,99,GRY,HOND,ACC,4D,,,00,1HGCG1652XA006731,,N,N,N,N,N,N
V63161,1,,000,,,,,,,08,RED,FORD,MUS,2D,102ZBA,AZ,09,1ZVHT80N085143224,19000,Y,N,N,N,N,N
X44576,1,12/04/2011 12:00 AM,016,3338 N 76 ST,,,OMAHA,NE,68134,99,GRY,DODG,,UT,PEI446,NE,09,1B4HS28Y2XF650018,,Y,N,N,N,N,N
X28304,1,07/15/2011 12:00 AM,095,UNK ST,,,UNK,IL,,06,WHI,,,ENCLOSED TRAILER,196907,NE,09,1GRAA06236W700391,40000,Y,N,N,N,N,N
X60140,1,12/01/2010 12:00 AM,095,UNK ST,,,UNK,IA,,97,RED,TRLR,,,,,00,4PL500F28V1007194,600,Y,N,N,N,N,N
X61674,1,05/13/2011 12:00 AM,038,1501 BINNEY ST,,,OMAHA,NE,68110,02,WHI,NISS,TK,PK,PPG407,NE,10,1N6ED29X12C338253,10000,Y,N,N,N,N,Y
X80380,1,,000,,,,,,,74,WHI,HOND,,BT,,,00,HNDE5111M74C,,Y,N,N,N,N,N
X80380,2,,000,,,,,,,00,YEL/BLK,,,TL,,,00,UNK,,Y,N,N,N,N,N
X81219,1,02/09/2011 12:00 AM,014,11106 FRANKLIN PA,,,OMAHA,NE,68154,03,BLU,JEEP,,UT,OOI212,NE,10,1J4GL48K53W722191,8000,Y,N,N,N,N,N
X82370,1,05/03/2011 12:00 AM,095,1 OLATHE KS ST,,,OLATHE,KS,,83,RED,HOND,,MC,,,00,JH2RC1406DM000489,,Y,N,N,N,N,N
X68918,1,04/25/2011 12:00 AM,061,1416 ELM ST,,,OMAHA,NE,68108,02,YEL,SUZU,,MC,1628MQ,IA,10,JS1GN79A822103592,,Y,N,N,N,N,N
