RestaurantName,Rating,InspectionDate,Location 1
11 WORTH CAFÉ,STANDARD,06/06/2011 12:00 AM,"2419 LEAVENWORTH ST
Omaha, NE
(41.25241662858707, -95.94798129023536)"
13TH STREET COFFEE CO,STANDARD,04/26/2011 12:00 AM,"519 SO 13 STREET
Omaha, NE
(41.25470090654147, -95.93327737505626)"
20 GRAND THEATRE,EXCELLENT,06/13/2011 12:00 AM,"14304 W MAPLE
Omaha, NE
(41.29228609507841, -96.13565597639122)"
20TH STREET LIQUOR & GROCERY,STANDARD,11/29/2010 12:00 AM,"1928 LEAVENWORTH
Omaha, NE
(41.25245077800555, -95.94120967838933)"
21ST AMENDMENT,STANDARD,03/01/2011 12:00 AM,"4737 SO 96 ST
Omaha, NE
(41.211264770171915, -96.06210898622918)"
3-5-7 CLUB,EXCELLENT,03/11/2011 12:00 AM,"2414 AMES AVE
Omaha, NE
(41.29968585790584, -95.9471391393802)"
3 HAPPINESS EXPRESS,EXCELLENT,06/20/2011 12:00 AM,"5103 LEAVENWORTH PLZ
Omaha, NE
(41.25233411408183, -95.99277336447615)"
3'S LOUNGE,EXCELLENT,04/05/2011 12:00 AM,"8919 NO 30 ST
Omaha, NE
(41.341188706099274, -95.9618038698257)"
7 MONKEYS,STANDARD,05/23/2011 12:00 AM,"15805 W MAPLE RD
Omaha, NE
(41.292003920858065, -96.1609901876007)"
801 CHOP HOUSE,EXCELLENT,03/28/2011 12:00 AM,"1403 FARNAM ST
Omaha, NE
(41.257542764154095, -95.93522890385987)"
99 CENT GROCERY & VARIETY,STANDARD,06/27/2011 12:00 AM,"4205 REDMAN AVE
Omaha, NE
(41.309963593472105, -95.97766984552352)"
ABELARDO'S MEXICAN FOOD,STANDARD,05/16/2011 12:00 AM,"3420 NO 90TH ST
Omaha, NE
(41.2897924521248, -96.05298613037638)"
ABELARDO'S MEXICAN FOOD,STANDARD,07/28/2010 12:00 AM,"3121 Q ST
Omaha, NE
(41.20547201865759, -95.96102145966017)"
ABELARDO'S MEXICAN FOOD,STANDARD,04/20/2011 12:00 AM,"5044 SO 108 ST
Omaha, NE
(41.206749517945, -96.08150351629622)"
ABRAHAM CATERING @ JOSLYN,EXCELLENT,05/21/2010 12:00 AM,"2200 DODGE ST
Omaha, NE
(41.25977308278675, -95.94560708007799)"
ABRAHAM CATERING @ THE GARDENS,EXCELLENT,05/06/2011 12:00 AM,"100 BANCROFT ST
Omaha, NE
(41.23420622095256, -95.91689718941717)"
A B'S DUNDEE 66,STANDARD,03/09/2010 12:00 AM,"4926 UNDERWOOD AVE
Omaha, NE
(41.2650790827596, -95.99006956120655)"
ABSOLUTELY FRESH SEAFOOD CO,EXCELLENT,05/18/2011 12:00 AM,"807 SO 18 ST
Omaha, NE
(41.25233537433842, -95.93945395849731)"
