Class,DescriptionOfClass,BusinessName,Location 2
A     ,Beer on sale,BERNIE'S PIZZA PARLOR               ,"5092 SO 136TH ST
OMAHA, NE
(41.20550407920473, -96.12171547859421)"
A     ,Beer on sale,CHICAGO DAWG HOUSE                  ,"3113 108TH STREET
OMAHA, NE
(41.23041328010641, -96.08145399103994)"
A     ,Beer on sale,ELMWOOD GOLF COURSE                 ,"6232 PACIFIC STREET
OMAHA, NE
(41.24875638792781, -96.00775922552293)"
A     ,Beer on sale,GODFATHER'S PIZZA                   ,"2851 168 STREET
OMAHA, NE
(41.23218172742816, -96.17675886776945)"
A     ,Beer on sale,GODFATHER'S PIZZA #28025            ,"5010 GROVER STREET
OMAHA, NE
(41.227016829708006, -95.99064980519812)"
A     ,Beer on sale,GODFATHER'S PIZZA #28033            ,"3141 108TH ST
OMAHA, NE
(41.23025363352502, -96.0814552339606)"
A     ,Beer on sale,KING FONG CAFE                      ,"315 1 2 S 16 STREET
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
A     ,Beer on sale,MILT'S GOLF CENTER                  ,"6402 Q STREET
OMAHA, NE
(41.20524718815028, -96.01234576787232)"
A     ,Beer on sale,PEPPER JAX GRILL                    ,"2429 132 STREET
OMAHA, NE
(41.23634489276443, -96.11944241548491)"
A     ,Beer on sale,PEPPER JAX GRILL                    ,"2579 171 COURT
OMAHA, NE
(41.23518444307713, -96.1836179331093)"
A     ,Beer on sale,PEPPER JAX GRILL                    ,"1040 74 PLAZA
OMAHA, NE
(41.24928392790304, -96.02789806326493)"
A     ,Beer on sale,PEPPER JAX GRILL                    ,"4303 72 STREET
OMAHA, NE
(41.21647689934639, -96.02373924318967)"
A     ,Beer on sale,PEPPERJAX GRILL                     ,"1221 HOWARD STREET
OMAHA, NE
(41.25539252104522, -95.93216466228597)"
A     ,Beer on sale,ROMONA'S                            ,"6502 NO 30TH ST
OMAHA, NE
(41.31779734011718, -95.95655182917454)"
A     ,Beer on sale,SPRING LAKE GOLF COURSE             ,"4020 HOCTOR BLVD
OMAHA, NE
(41.222011584520025, -95.93979668311796)"
A     ,Beer on sale,SKATEDAZE.COM                       ,"3616 132 STREET
OMAHA, NE
(41.224707820647716, -96.11999433557175)"
A     ,Beer on sale,TAQUERIA VALADEZ                    ,"6621 RAILROAD AVE
OMAHA, NE
(41.19298043567062, -95.93884417841764)"
A     ,Beer on sale,TAQUERIA LA ESMERALDA               ,"3215 Q STREET
OMAHA, NE
(41.20547201865759, -95.9617499105039)"
B     ,Beer off sale,ANDERSON BROTHERS AMOCO             ,"14403 FRONTIER RD
OMAHA, NE
(41.159147940928335, -96.14027432654024)"
B     ,Beer off sale,ANDERSON AMOCO FOOD SHOP & SERVICE  ,"13746 Q STREET
OMAHA, NE
(41.20521121526912, -96.12834931643175)"
B     ,Beer off sale,BUCK'S                              ,"4420 L ST
OMAHA, NE
(41.2125676694688, -95.98084251718598)"
B     ,Beer off sale,BUCKY'S EXPRESS 24                  ,"2223 24 STREET
OMAHA, NE
(41.23888867548219, -95.94695248460337)"
B     ,Beer off sale,BIG KMART 4130                      ,"5000 L STREET
OMAHA, NE
(41.21252270336731, -95.99164337475787)"
B     ,Beer off sale,BIG RED MINI MART #2744             ,"13525 MILLARD AVE
OMAHA, NE
(41.20906031355452, -96.12520168932917)"
B     ,Beer off sale,CASS GAS N SHOP                     ,"503 33RD ST
OMAHA, NE
(41.26350390223887, -95.96146113987129)"
B     ,Beer off sale,CASEY'S GENERAL STORE 2886          ,"1202 13 STREET
OMAHA, NE
(41.27021136642092, -95.93316145815946)"
B     ,Beer off sale,CIG & SNACK OUTLET                  ,"6818 SO 13TH ST
OMAHA, NE
(41.1912087712729, -95.93351119878389)"
B     ,Beer off sale,CUMING FOOD MART                    ,"4002 CUMING STREET
OMAHA, NE
(41.267947920033066, -95.97351304264714)"
B     ,Beer off sale,EDDY'S                              ,"9645 IDA ST
OMAHA, NE
(41.31979383502221, -96.06438054048766)"
B     ,Beer off sale,EDDYS                               ,"15605 CENTER RD
OMAHA, NE
(41.23386275166382, -96.15894254656347)"
B     ,Beer off sale,EDDY'S                              ,"11919 FORT STREET
OMAHA, NE
(41.30654682153062, -96.09969691657824)"
B     ,Beer off sale,FREIDEN'S SUPERETTE                 ,"561 SO 18TH ST
OMAHA, NE
(41.25489574284435, -95.93978464359397)"
B     ,Beer off sale,FRANK'S FOOD STORE                  ,"5170 Q ST
OMAHA, NE
(41.20527416781118, -95.9957892493129)"
B     ,Beer off sale,GRANDPA'S C-MART                    ,"5018 UNDERWOOD
OMAHA, NE
(41.265135727353, -95.99073202293934)"
B     ,Beer off sale,HOUSE OF SAUSAGE                    ,"2532 SO 24TH ST
OMAHA, NE
(41.23437622867931, -95.94704599532486)"
B     ,Beer off sale,JACOBO'S GROCERY                    ,"4621 SO 24TH ST
OMAHA, NE
(41.212612635570224, -95.94704599532486)"
B     ,Beer off sale,J-N-D GROCERY                       ,"6339 NO 24TH
OMAHA, NE
(41.31606840770622, -95.94686840470514)"
B     ,Beer off sale,KEITH'S AMOCO #1                    ,"5220 NO 90TH ST
OMAHA, NE
(41.30619608593918, -96.05270734054733)"
B     ,Beer off sale,KNJ GROCERY                         ,"3301 CALIFORNIA ST
OMAHA, NE
(41.264709497268825, -95.96154855230154)"
B     ,Beer off sale,LANE'S SHELL                        ,"8724 30TH ST
OMAHA, NE
(41.33927842113722, -95.96131599890805)"
B     ,Beer off sale,MIDTOWN GAS & GROCERY               ,"1222 24TH STREET
OMAHA, NE
(41.27068744526002, -95.9471077683394)"
B     ,Beer off sale,MIDTOWN GAS & GROCERY               ,"1349 PARK AVE
OMAHA, NE
(41.245437889639675, -95.95573344612791)"
B     ,Beer off sale,OMAHA VALERO #102                   ,"2411 30TH ST
OMAHA, NE
(41.23642086136155, -95.95659999526623)"
B     ,Beer off sale,PITSTOP INC                         ,"4015 42ND STREET
OMAHA, NE
(41.220477436742634, -95.97577987453715)"
B     ,Beer off sale,PETROMART                           ,"6508 JOHN
J PERSHING OMAHA, NE
"
B     ,Beer off sale,PHILLIPS 66                         ,"7530 PACIFIC STREET
OMAHA, NE
(41.24881034724956, -96.0310516660818)"
B     ,Beer off sale,PAUL'S MILLARD SINCLAIR             ,"13205 MILLARD AVE
OMAHA, NE
(41.21183022540475, -96.12092091646974)"
B     ,Beer off sale,SPEEDEE MART #2730                  ,"4334 84 STREET
OMAHA, NE
(41.21715155055231, -96.04318445584255)"
