OBJECTID,VEHICLES,YEAR_OF_RE,ACCIDENT_D,ACCIDENT_1,ACCIDENT_H,LEG,HOUSE_NUMB,RB_NUMBER,DRIVER1_AG,DRIVER2_AG,DRIVER1_SE,DRIVER2_SE,VEHICLE1_T,VEHICLE2_T,NUM_INJURI,INJURY_F,INJURY_PI1,INJURY_PI2,INJURY_PI3,DIRECTION1,DIRECTION2,VEHICLE1_C,VEHICLE2_C,CIRCUMSTAN,CIRCUMST_1,DANGER_UNS,DANGER_U_1,DRIVER1_CO,DRIVER2_CO,PED_AGE,PED_SEX,PED_CONDIT,PED_ACTION,ROAD_CONDI,WEATHER,PROBLEM_EL,ACCIDENT_T,ENTER_DATE,Editor,STATUS,Location 1
29513,1,2008,02/14/2008 08:00 AM +0000,5,13,MB,,v03563,41,0,M,,PA,,1,0,0,0,1,W,,0,0,1,,0,0,N,N,53,M,U,8,D,O,NS,99,06/03/2008 07:00 AM +0000,Martinez,1,"21st and Cuming
Omaha, NE 68104
(41.295230000000004, -96.00216)"
31124,2,2008,04/15/2008 07:00 AM +0000,3,19,IN,,v19522,39,0,M,,PA,,1,0,0,0,1,N,,0,0,0,,0,0,N,N,14,F,N,0,D,C,NS,99,07/17/2008 07:00 AM +0000,Martinez,1,"30th and Kansas Ave
Omaha, NE 68104
(41.295230000000004, -96.00216)"
33245,1,2008,07/08/2008 07:00 AM +0000,3,14,MB,,v41763,29,0,M,,PA,,1,0,0,0,1,S,,0,0,0,,0,0,N,N,45,M,D,8,D,C,NS,99,09/11/2008 07:00 AM +0000,Martinez,1,"29th and Martha
Omaha, NE 68104
(41.295230000000004, -96.00216)"
33463,1,2008,07/15/2008 07:00 AM +0000,3,18,MB,,v43657,0,0,F,,PA,,1,0,0,0,1,E,,0,0,0,,0,0,N,N,55,M,N,0,D,O,NS,99,09/18/2008 07:00 AM +0000,Martinez,0,"Omaha, NE 68104
(41.295230000000004, -96.00216)"
34644,2,2008,01/11/2008 08:00 AM +0000,6,0,IN,,n95020,0,0,,,PA,,1,0,0,0,1,W,,0,0,,,0,0,U,N,34,M,N,3,W,C,NS,99,03/10/2008 07:00 AM +0000,Unknown,1,"55th and Ames Ave
Omaha, NE 68104
(41.29951412326153, -95.99935955776925)"
34847,1,2008,01/05/2008 08:00 AM +0000,7,9,IN,,n93482,0,0,,,PA,,1,0,0,0,1,N,,0,0,2,,0,0,U,N,35,M,N,0,W,C,NS,99,03/26/2008 07:00 AM +0000,Unknown,1,"84th and Farnam Drive
Omaha, NE 68104
(41.25533043196202, -96.04297667619028)"
34982,1,2008,01/01/2008 08:00 AM +0000,3,1,MB,,n92538,0,0,,,PA,,1,0,0,0,1,W,,0,0,12,,0,0,U,N,59,M,I,10,D,C,NS,99,04/01/2008 07:00 AM +0000,Unknown,1,"20th and Q
Omaha, NE 68104
(41.295230000000004, -96.00216)"
35664,1,2008,02/08/2008 08:00 AM +0000,6,19,IN,,v02250,40,0,M,,PA,,1,0,0,0,1,W,,0,0,0,,0,0,N,N,60,M,U,1,W,C,NS,99,05/29/2008 07:00 AM +0000,Unknown,1,"42nd and Dodge
Omaha, NE 68104
(41.295230000000004, -96.00216)"
35953,1,2008,01/24/2008 08:00 AM +0000,5,18,IN,,n98466,17,0,F,,PA,,1,0,0,0,1,S,,0,0,4,,0,0,N,N,63,M,N,13,W,C,NS,99,06/19/2008 07:00 AM +0000,RATHBUN,1,"108th and Manderson Plaza
Omaha, NE 68104
(41.295230000000004, -96.00216)"
36621,1,2008,04/17/2008 07:00 AM +0000,5,6,IN,,v19929,55,0,M,,PA,,1,0,0,0,1,N,,0,0,,,0,0,N,N,57,M,N,1,W,R,NS,99,07/22/2008 07:00 AM +0000,RATHBUN,1,"17th and Douglas
Omaha, NE 68104
(41.295230000000004, -96.00216)"
